"num_docks_disabled","is_returning","num_docks_available","is_installed","num_ebikes_available","station_id","num_bikes_available","is_renting","num_scooters_available","last_reported","num_scooters_unavailable","num_bikes_disabled","fecha_hora"
0,1,6,1,3,"a3ac1607-a135-11e9-9cda-0a87ae2ba916",3,1,5,1774036528,0,0,2026-03-20 19:55:28
0,1,6,1,1,"a3acb1de-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036526,0,0,2026-03-20 19:55:26
0,1,7,1,0,"2186824022205777866",1,1,0,1774036531,0,0,2026-03-20 19:55:31
0,1,7,1,1,"a3b11480-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036531,0,0,2026-03-20 19:55:31
0,1,2,1,3,"a3a80512-a135-11e9-9cda-0a87ae2ba916",14,1,0,1774036532,1,2,2026-03-20 19:55:32
0,1,13,1,1,"1961472602929588766",2,1,0,1774036533,0,0,2026-03-20 19:55:33
0,1,9,1,0,"2113983884661901700",5,1,0,1774036533,0,1,2026-03-20 19:55:33
0,1,4,1,2,"a3a76cb6-a135-11e9-9cda-0a87ae2ba916",11,1,0,1774036533,0,0,2026-03-20 19:55:33
0,1,10,1,0,"a3b22d3d-a135-11e9-9cda-0a87ae2ba916",1,1,0,1774036533,0,0,2026-03-20 19:55:33
0,1,18,1,2,"a3a79adb-a135-11e9-9cda-0a87ae2ba916",5,1,2,1774036529,0,2,2026-03-20 19:55:29
0,1,7,1,0,"a3b29fae-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036529,0,0,2026-03-20 19:55:29
0,1,16,1,0,"2128788290981175550",2,1,0,1774036529,0,0,2026-03-20 19:55:29
0,1,10,1,3,"a3a9f76a-a135-11e9-9cda-0a87ae2ba916",4,1,1,1774036530,0,0,2026-03-20 19:55:30
0,1,21,1,2,"a3a3e67b-a135-11e9-9cda-0a87ae2ba916",3,1,6,1774036530,0,1,2026-03-20 19:55:30
0,1,9,1,4,"1969236968943731106",7,1,0,1774036530,0,0,2026-03-20 19:55:30
1,1,10,1,2,"1942117929887056608",3,1,1,1774036528,0,0,2026-03-20 19:55:28
1,1,4,1,13,"2133966431192650344",17,1,2,1774036534,0,0,2026-03-20 19:55:34
0,1,9,1,3,"1945195957167804800",6,1,0,1774036533,0,0,2026-03-20 19:55:33
0,1,8,1,0,"a3ac30c5-a135-11e9-9cda-0a87ae2ba916",7,1,0,1774036533,0,0,2026-03-20 19:55:33
0,1,14,1,0,"a3af5d1c-a135-11e9-9cda-0a87ae2ba916",0,1,1,1774036534,0,0,2026-03-20 19:55:34
0,1,7,1,1,"a3b13e66-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036534,0,0,2026-03-20 19:55:34
0,1,10,1,1,"1871993715238611622",1,1,0,1774036534,0,4,2026-03-20 19:55:34
0,1,6,1,1,"2194828324890325284",2,1,0,1774036538,0,0,2026-03-20 19:55:38
0,1,9,1,7,"a3ac9d43-a135-11e9-9cda-0a87ae2ba916",10,1,4,1774036538,0,0,2026-03-20 19:55:38
0,1,9,1,0,"1882466626513795782",6,1,0,1774036538,0,0,2026-03-20 19:55:38
0,1,9,1,1,"1929905600854819414",5,1,0,1774036538,0,1,2026-03-20 19:55:38
0,1,6,1,2,"a3addda0-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036538,0,0,2026-03-20 19:55:38
0,1,2,1,6,"a3b00b3a-a135-11e9-9cda-0a87ae2ba916",12,1,0,1774036535,0,1,2026-03-20 19:55:35
0,1,14,1,2,"a3a859c4-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036536,0,0,2026-03-20 19:55:36
0,1,8,1,1,"a3ac3b03-a135-11e9-9cda-0a87ae2ba916",7,1,0,1774036536,0,0,2026-03-20 19:55:36
0,1,1,1,7,"2111730464161852178",9,1,0,1774036537,0,1,2026-03-20 19:55:37
0,1,5,1,7,"a3a62566-a135-11e9-9cda-0a87ae2ba916",8,1,6,1774036537,0,0,2026-03-20 19:55:37
0,1,3,1,1,"2112108504264821720",4,1,4,1774036535,0,0,2026-03-20 19:55:35
0,1,16,1,0,"1984107787514337392",0,1,NA,1774036541,NA,0,2026-03-20 19:55:41
0,1,10,1,3,"2155141472647710942",6,1,0,1774036542,0,0,2026-03-20 19:55:42
0,1,9,1,1,"1850868044363584392",3,1,2,1774036539,0,1,2026-03-20 19:55:39
0,1,18,1,0,"a3ae87fa-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036543,1,0,2026-03-20 19:55:43
0,1,5,1,0,"a3b2be3a-a135-11e9-9cda-0a87ae2ba916",6,1,0,1774036543,0,0,2026-03-20 19:55:43
0,1,15,1,0,"1955905507044284968",0,1,NA,1774036543,NA,0,2026-03-20 19:55:43
0,1,4,1,4,"a3b477ac-a135-11e9-9cda-0a87ae2ba916",10,1,1,1774036543,0,0,2026-03-20 19:55:43
0,1,15,1,1,"2020809814916515864",1,1,0,1774036544,0,0,2026-03-20 19:55:44
0,1,9,1,4,"2150675229819632068",6,1,0,1774036545,0,0,2026-03-20 19:55:45
0,1,13,1,1,"a3ad95a7-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036545,0,0,2026-03-20 19:55:45
0,1,0,1,8,"a3af460f-a135-11e9-9cda-0a87ae2ba916",18,1,1,1774036545,0,0,2026-03-20 19:55:45
0,1,4,1,2,"a3ad13e4-a135-11e9-9cda-0a87ae2ba916",5,1,2,1774036545,0,0,2026-03-20 19:55:45
0,1,10,1,0,"2056421762206241370",2,1,0,1774036545,0,0,2026-03-20 19:55:45
0,1,4,1,3,"1984756450139626426",4,1,0,1774036548,0,0,2026-03-20 19:55:48
0,1,14,1,2,"1969221526359528022",5,1,0,1774036548,0,0,2026-03-20 19:55:48
0,1,7,1,0,"a3afb401-a135-11e9-9cda-0a87ae2ba916",8,1,0,1774036548,0,0,2026-03-20 19:55:48
0,1,7,1,6,"a3a9b1d7-a135-11e9-9cda-0a87ae2ba916",6,1,2,1774036546,0,0,2026-03-20 19:55:46
0,1,8,1,1,"a3ad7636-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036546,0,0,2026-03-20 19:55:46
0,1,12,1,2,"1936552461714393094",3,1,0,1774036546,0,0,2026-03-20 19:55:46
0,1,1,1,12,"a3a5de24-a135-11e9-9cda-0a87ae2ba916",12,1,2,1774036547,0,0,2026-03-20 19:55:47
0,1,7,1,2,"a3a3b202-a135-11e9-9cda-0a87ae2ba916",5,1,2,1774036551,1,0,2026-03-20 19:55:51
0,1,14,1,0,"1943244520961310788",1,1,0,1774036551,0,0,2026-03-20 19:55:51
0,1,6,1,3,"2130026180535114202",3,1,0,1774036551,0,1,2026-03-20 19:55:51
0,1,11,1,0,"732c9f35-0c82-4128-acc3-2cf447298b1d",4,1,0,1774036552,0,0,2026-03-20 19:55:52
0,1,15,1,0,"792ceba0-564f-4a2c-bcb5-90da781ffeef",0,1,NA,1774036551,NA,0,2026-03-20 19:55:51
0,1,12,1,3,"1936553212713581016",3,1,0,1774036494,0,0,2026-03-20 19:54:54
0,1,4,1,6,"a3b47cbc-a135-11e9-9cda-0a87ae2ba916",11,1,1,1774036549,0,0,2026-03-20 19:55:49
0,1,9,1,5,"1938034236347042306",5,1,0,1774036549,0,1,2026-03-20 19:55:49
0,1,8,1,0,"a3b2862e-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036552,0,0,2026-03-20 19:55:52
